date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:01:42	421/421	---MCZ	200	added ('OK')	text/plain	date:Mon,%2019%20Jan%202015%2002:56:34%20GMT	http://lasik2c.com/robots.txt		(from )
14:01:43	76843/76843	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Jan%202016%2020:01:44%20GMT	http://lasik2c.com/	C:/My%20Web%20Sites/lasik2c/lasik2c.com/index.html	(from )
14:01:43	5791/5791	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Apr%202015%2007:12:30%20GMT	http://lasik2c.com/plugins/system/jcemediabox/css/jcemediabox.css?380a314203b6e1c4df5166f3a813030a	C:/My%20Web%20Sites/lasik2c/lasik2c.com/plugins/system/jcemediabox/css/jcemediabox6eba.css	(from http://lasik2c.com/)
14:01:43	4357/4357	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Apr%202015%2007:12:30%20GMT	http://lasik2c.com/plugins/system/jcemediabox/themes/light/css/style.css?5b26173937680c0f1ce985cf96253c9e	C:/My%20Web%20Sites/lasik2c/lasik2c.com/plugins/system/jcemediabox/themes/light/css/styled565.css	(from http://lasik2c.com/)
14:01:43	607/607	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2015%20Jan%202016%2020:01:45%20GMT	http://lasik2c.com/?format=feed&type=rss	C:/My%20Web%20Sites/lasik2c/lasik2c.com/indexc0d0.html	(from http://lasik2c.com/)
14:01:44	29994/29994	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Jan%202015%2002:56:10%20GMT	http://lasik2c.com/plugins/system/rokbox/assets/styles/rokbox.css	C:/My%20Web%20Sites/lasik2c/lasik2c.com/plugins/system/rokbox/assets/styles/rokbox.css	(from http://lasik2c.com/)
14:01:44	2854/2854	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Jan%202015%2002:35:00%20GMT	http://lasik2c.com/libraries/gantry/css/grid-12.css	C:/My%20Web%20Sites/lasik2c/lasik2c.com/libraries/gantry/css/grid-12.css	(from http://lasik2c.com/)
14:01:44	21945/21945	---MCZ	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202015%2006:31:32%20GMT	http://lasik2c.com/templates/rt_diametric/css-compiled/master.css	C:/My%20Web%20Sites/lasik2c/lasik2c.com/templates/rt_diametric/css-compiled/master.css	(from http://lasik2c.com/)
14:01:44	597/597	---MC-	200	added ('OK')	application/atom+xml	date:Fri,%2015%20Jan%202016%2020:01:45%20GMT	http://lasik2c.com/?format=feed&type=atom	C:/My%20Web%20Sites/lasik2c/lasik2c.com/index7b17.html	(from http://lasik2c.com/)
14:01:44	10466/10466	---MCZ	200	added ('OK')	text/css	date:Mon,%2023%20Mar%202015%2009:37:43%20GMT	http://lasik2c.com/templates/rt_diametric/css/gantry-core.css	C:/My%20Web%20Sites/lasik2c/lasik2c.com/templates/rt_diametric/css/gantry-core.css	(from http://lasik2c.com/)
